location;date;week;total_deaths;new_deaths;total_deaths_per_million;new_deaths_per_million
China;08/03/2020;2020-W10;3101;228;2.18;0.16
Germany;08/03/2020;2020-W10;23;12;0.27;0.14
India;08/03/2020;2020-W10;0;0;0;0
United States;08/03/2020;2020-W10;19;18;0.06;0.05
China;15/03/2020;2020-W11;3204;103;2.25;0.07
Germany;15/03/2020;2020-W11;107;84;1.27;1
India;15/03/2020;2020-W11;2;2;0;0
United States;15/03/2020;2020-W11;69;50;0.2;0.15
China;22/03/2020;2020-W12;3267;63;2.29;0.04
Germany;22/03/2020;2020-W12;586;479;6.97;5.7
India;22/03/2020;2020-W12;7;5;0;0
United States;22/03/2020;2020-W12;374;305;1.1;0.89
China;29/03/2020;2020-W13;3306;39;2.32;0.03
Germany;29/03/2020;2020-W13;2045;1459;24.32;17.35
India;29/03/2020;2020-W13;25;18;0.02;0.01
United States;29/03/2020;2020-W13;2106;1732;6.17;5.07
China;05/04/2020;2020-W14;3338;32;2.34;0.02
Germany;05/04/2020;2020-W14;4318;2273;51.35;27.03
India;05/04/2020;2020-W14;77;52;0.05;0.04
United States;05/04/2020;2020-W14;8748;6642;25.61;19.45
China;12/04/2020;2020-W15;3349;11;2.35;0.01
Germany;12/04/2020;2020-W15;6196;1878;73.69;22.33
India;12/04/2020;2020-W15;273;196;0.19;0.14
United States;12/04/2020;2020-W15;22637;13889;66.28;40.67
China;19/04/2020;2020-W16;4642;1293;3.26;0.91
Germany;19/04/2020;2020-W16;7422;1226;88.27;14.58
India;19/04/2020;2020-W16;507;234;0.36;0.16
United States;19/04/2020;2020-W16;38535;15898;112.83;46.55
China;26/04/2020;2020-W17;4642;0;3.26;0
Germany;26/04/2020;2020-W17;8149;727;96.91;8.65
India;26/04/2020;2020-W17;824;317;0.58;0.22
United States;26/04/2020;2020-W17;53434;14899;156.45;43.62
China;03/05/2020;2020-W18;4643;1;3.26;0
Germany;03/05/2020;2020-W18;8537;388;101.53;4.61
India;03/05/2020;2020-W18;1301;477;0.91;0.34
United States;03/05/2020;2020-W18;67069;13635;196.38;39.92
China;10/05/2020;2020-W19;4643;0;3.26;0
Germany;10/05/2020;2020-W19;8795;258;104.6;3.07
India;10/05/2020;2020-W19;2109;808;1.48;0.57
United States;10/05/2020;2020-W19;79827;12758;233.73;37.35
China;17/05/2020;2020-W20;4645;2;3.26;0
Germany;17/05/2020;2020-W20;8960;165;106.56;1.96
India;17/05/2020;2020-W20;2872;763;2.02;0.54
United States;17/05/2020;2020-W20;89957;10130;263.39;29.66
China;24/05/2020;2020-W21;4645;0;3.26;0
