location;date;week;stringency_index
China;05/01/2020;2020-W01;2.78
China;12/01/2020;2020-W02;2.78
China;19/01/2020;2020-W03;8.33
China;26/01/2020;2020-W04;69.91
China;02/02/2020;2020-W05;77.31
China;09/02/2020;2020-W06;77.31
China;16/02/2020;2020-W07;75.46
China;23/02/2020;2020-W08;75.46
China;01/03/2020;2020-W09;81.02
China;08/03/2020;2020-W10;81.02
China;15/03/2020;2020-W11;81.02
China;22/03/2020;2020-W12;79.17
China;29/03/2020;2020-W13;73.61
China;05/04/2020;2020-W14;69.91
China;12/04/2020;2020-W15;56.94
China;19/04/2020;2020-W16;56.94
China;26/04/2020;2020-W17;56.94
China;03/05/2020;2020-W18;56.94
China;10/05/2020;2020-W19;81.94
China;17/05/2020;2020-W20;81.94
China;24/05/2020;2020-W21;81.94
China;31/05/2020;2020-W22;81.94
China;07/06/2020;2020-W23;78.24
China;14/06/2020;2020-W24;78.24
China;21/06/2020;2020-W25;78.24
China;28/06/2020;2020-W26;78.24
China;05/07/2020;2020-W27;78.24
China;12/07/2020;2020-W28;78.24
China;19/07/2020;2020-W29;78.24
China;26/07/2020;2020-W30;78.24
China;02/08/2020;2020-W31;78.24
China;09/08/2020;2020-W32;78.24
China;16/08/2020;2020-W33;78.24
China;23/08/2020;2020-W34;78.24
China;30/08/2020;2020-W35;78.24
China;06/09/2020;2020-W36;46.76
China;13/09/2020;2020-W37;46.76
China;20/09/2020;2020-W38;81.94
China;27/09/2020;2020-W39;54.17
China;04/10/2020;2020-W40;54.17
China;11/10/2020;2020-W41;52.31
China;18/10/2020;2020-W42;61.57
China;25/10/2020;2020-W43;81.94
China;01/11/2020;2020-W44;63.43
China;08/11/2020;2020-W45;63.43
China;15/11/2020;2020-W46;63.43
China;22/11/2020;2020-W47;76.39
China;29/11/2020;2020-W48;81.94
China;06/12/2020;2020-W49;81.94
China;13/12/2020;2020-W50;78.24
China;20/12/2020;2020-W51;78.24
China;27/12/2020;2020-W52;78.24
China;03/01/2021;2021-W01;78.24
China;10/01/2021;2021-W02;78.24
China;17/01/2021;2021-W03;78.24
China;24/01/2021;2021-W04;78.24
China;31/01/2021;2021-W05;78.24
China;07/02/2021;2021-W06;78.24
China;14/02/2021;2021-W07;78.24
China;21/02/2021;2021-W08;78.24
China;28/02/2021;2021-W09;61.57
China;07/03/2021;2021-W10;56.02
China;14/03/2021;2021-W11;56.02
China;21/03/2021;2021-W12;51.39
China;28/03/2021;2021-W13;51.39
China;04/04/2021;2021-W14;50
China;11/04/2021;2021-W15;78.24
China;18/04/2021;2021-W16;78.24
China;25/04/2021;2021-W17;78.24
China;02/05/2021;2021-W18;78.24
China;09/05/2021;2021-W19;63.43
China;16/05/2021;2021-W20;68.98
China;23/05/2021;2021-W21;68.98
China;30/05/2021;2021-W22;72.69
China;06/06/2021;2021-W23;72.69
China;13/06/2021;2021-W24;76.39
China;20/06/2021;2021-W25;76.39
China;27/06/2021;2021-W26;72.69
China;04/07/2021;2021-W27;67.13
China;11/07/2021;2021-W28;76.39
China;18/07/2021;2021-W29;76.39
China;25/07/2021;2021-W30;73.61
China;01/08/2021;2021-W31;79.17
China;08/08/2021;2021-W32;79.17
China;15/08/2021;2021-W33;79.17
China;22/08/2021;2021-W34;79.17
China;29/08/2021;2021-W35;79.17
China;05/09/2021;2021-W36;73.61
China;12/09/2021;2021-W37;79.17
China;19/09/2021;2021-W38;79.17
China;26/09/2021;2021-W39;79.17
China;03/10/2021;2021-W40;79.17
China;10/10/2021;2021-W41;79.17
China;17/10/2021;2021-W42;73.61
China;24/10/2021;2021-W43;79.17
China;31/10/2021;2021-W44;79.17
China;07/11/2021;2021-W45;79.17
China;14/11/2021;2021-W46;79.17
China;21/11/2021;2021-W47;79.17
China;28/11/2021;2021-W48;79.17
China;05/12/2021;2021-W49;79.17
China;12/12/2021;2021-W50;79.17
China;19/12/2021;2021-W51;79.17
China;26/12/2021;2021-W52;79.17
China;02/01/2022;2022-W01;79.17
China;09/01/2022;2022-W02;79.17
China;16/01/2022;2022-W03;79.17
China;23/01/2022;2022-W04;79.17
China;30/01/2022;2022-W05;79.17
China;06/02/2022;2022-W06;79.17
China;13/02/2022;2022-W07;79.17
China;20/02/2022;2022-W08;79.17
China;27/02/2022;2022-W09;79.17
China;06/03/2022;2022-W10;79.17
China;13/03/2022;2022-W11;79.17
China;20/03/2022;2022-W12;79.17
China;27/03/2022;2022-W13;79.17
China;03/04/2022;2022-W14;79.17
China;10/04/2022;2022-W15;79.17
China;17/04/2022;2022-W16;75.46
China;24/04/2022;2022-W17;79.17
China;01/05/2022;2022-W18;79.17
China;08/05/2022;2022-W19;79.17
China;15/05/2022;2022-W20;79.17
China;22/05/2022;2022-W21;79.17
China;29/05/2022;2022-W22;79.17
China;05/06/2022;2022-W23;79.17
China;12/06/2022;2022-W24;79.17
China;19/06/2022;2022-W25;79.17
China;26/06/2022;2022-W26;79.17
China;03/07/2022;2022-W27;79.17
China;10/07/2022;2022-W28;79.17
China;17/07/2022;2022-W29;79.17
China;24/07/2022;2022-W30;79.17
China;31/07/2022;2022-W31;79.17
China;07/08/2022;2022-W32;79.17
China;14/08/2022;2022-W33;79.17
China;21/08/2022;2022-W34;79.17
China;28/08/2022;2022-W35;79.17
China;04/09/2022;2022-W36;79.17
China;11/09/2022;2022-W37;79.17
China;18/09/2022;2022-W38;79.17
China;25/09/2022;2022-W39;79.17
China;02/10/2022;2022-W40;79.17
China;09/10/2022;2022-W41;79.17
China;16/10/2022;2022-W42;79.17
China;23/10/2022;2022-W43;79.17
China;30/10/2022;2022-W44;79.17
China;06/11/2022;2022-W45;79.17
China;13/11/2022;2022-W46;79.17
China;20/11/2022;2022-W47;79.17
China;27/11/2022;2022-W48;79.17
China;04/12/2022;2022-W49;79.17
China;11/12/2022;2022-W50;68.98
China;18/12/2022;2022-W51;55.09
China;25/12/2022;2022-W52;49.54
China;01/01/2023;2023-W01;68.98
China;08/01/2023;2023-W02;68.98
China;15/01/2023;2023-W03;68.98
China;22/01/2023;2023-W04;68.98
China;29/01/2023;2023-W05;68.98
China;05/02/2023;2023-W06;68.98
China;12/02/2023;2023-W07;68.98
China;19/02/2023;2023-W08;68.98
China;26/02/2023;2023-W09;68.98
China;05/03/2023;2023-W10;68.98
China;12/03/2023;2023-W11;68.98
China;19/03/2023;2023-W12;68.98
China;26/03/2023;2023-W13;68.98
China;02/04/2023;2023-W14;68.98
China;09/04/2023;2023-W15;68.98
China;16/04/2023;2023-W16;68.98
China;23/04/2023;2023-W17;68.98
China;30/04/2023;2023-W18;68.98
China;07/05/2023;2023-W19;68.98
China;14/05/2023;2023-W20;68.98
China;21/05/2023;2023-W21;68.98
China;28/05/2023;2023-W22;68.98
China;04/06/2023;2023-W23;68.98
China;11/06/2023;2023-W24;68.98
China;18/06/2023;2023-W25;68.98
China;25/06/2023;2023-W26;68.98
China;02/07/2023;2023-W27;68.98
China;09/07/2023;2023-W28;68.98
China;16/07/2023;2023-W29;68.98
China;23/07/2023;2023-W30;68.98
China;30/07/2023;2023-W31;68.98
China;06/08/2023;2023-W32;68.98
China;13/08/2023;2023-W33;68.98
China;20/08/2023;2023-W34;68.98
China;27/08/2023;2023-W35;68.98
China;03/09/2023;2023-W36;68.98
China;10/09/2023;2023-W37;68.98
China;17/09/2023;2023-W38;68.98
China;24/09/2023;2023-W39;68.98
China;01/10/2023;2023-W40;68.98
China;08/10/2023;2023-W41;68.98
China;15/10/2023;2023-W42;68.98
China;22/10/2023;2023-W43;68.98
China;29/10/2023;2023-W44;68.98
China;05/11/2023;2023-W45;68.98
China;12/11/2023;2023-W46;68.98
China;19/11/2023;2023-W47;68.98
China;26/11/2023;2023-W48;68.98
China;03/12/2023;2023-W49;68.98
China;10/12/2023;2023-W50;68.98
China;17/12/2023;2023-W51;68.98
China;24/12/2023;2023-W52;68.98
China;31/12/2023;2023-W53;68.98
China;07/01/2024;2024-W01;68.98
China;14/01/2024;2024-W02;68.98
China;21/01/2024;2024-W03;68.98
China;28/01/2024;2024-W04;68.98
China;04/02/2024;2024-W05;68.98
China;11/02/2024;2024-W06;68.98
China;18/02/2024;2024-W07;68.98
China;25/02/2024;2024-W08;68.98
China;03/03/2024;2024-W09;68.98
China;10/03/2024;2024-W10;68.98
China;17/03/2024;2024-W11;68.98
China;24/03/2024;2024-W12;68.98
China;31/03/2024;2024-W13;68.98
China;07/04/2024;2024-W14;68.98
China;14/04/2024;2024-W15;68.98
China;21/04/2024;2024-W16;68.98
China;28/04/2024;2024-W17;68.98
China;05/05/2024;2024-W18;68.98
China;12/05/2024;2024-W19;68.98
China;19/05/2024;2024-W20;68.98
China;26/05/2024;2024-W21;68.98
China;02/06/2024;2024-W22;68.98
China;09/06/2024;2024-W23;68.98
China;16/06/2024;2024-W24;68.98
China;23/06/2024;2024-W25;68.98
China;30/06/2024;2024-W26;68.98
China;07/07/2024;2024-W27;68.98
China;14/07/2024;2024-W28;68.98
China;21/07/2024;2024-W29;68.98
China;28/07/2024;2024-W30;68.98
China;04/08/2024;2024-W31;68.98
Germany;05/01/2020;2020-W01;0
Germany;26/01/2020;2020-W04;5.56
Germany;02/02/2020;2020-W05;5.56
Germany;09/02/2020;2020-W06;5.56
Germany;16/02/2020;2020-W07;11.11
Germany;23/02/2020;2020-W08;11.11
Germany;01/03/2020;2020-W09;25
Germany;08/03/2020;2020-W10;25
Germany;15/03/2020;2020-W11;32.87
Germany;22/03/2020;2020-W12;76.85
Germany;29/03/2020;2020-W13;76.85
Germany;05/04/2020;2020-W14;76.85
Germany;12/04/2020;2020-W15;76.85
Germany;19/04/2020;2020-W16;76.85
Germany;26/04/2020;2020-W17;76.85
Germany;03/05/2020;2020-W18;75.46
Germany;10/05/2020;2020-W19;64.35
Germany;17/05/2020;2020-W20;61.57
Germany;24/05/2020;2020-W21;59.72
Germany;31/05/2020;2020-W22;59.72
Germany;07/06/2020;2020-W23;59.72
Germany;14/06/2020;2020-W24;59.72
Germany;21/06/2020;2020-W25;63.43
Germany;28/06/2020;2020-W26;63.43
Germany;05/07/2020;2020-W27;63.43
Germany;12/07/2020;2020-W28;55.09
Germany;19/07/2020;2020-W29;55.09
Germany;26/07/2020;2020-W30;55.09
Germany;02/08/2020;2020-W31;57.87
Germany;09/08/2020;2020-W32;56.94
Germany;16/08/2020;2020-W33;56.94
Germany;23/08/2020;2020-W34;56.94
Germany;30/08/2020;2020-W35;59.72
Germany;06/09/2020;2020-W36;49.54
Germany;13/09/2020;2020-W37;49.54
Germany;20/09/2020;2020-W38;49.54
Germany;27/09/2020;2020-W39;49.54
Germany;04/10/2020;2020-W40;49.54
Germany;11/10/2020;2020-W41;49.54
Germany;18/10/2020;2020-W42;58.8
Germany;25/10/2020;2020-W43;60.65
Germany;01/11/2020;2020-W44;60.65
Germany;08/11/2020;2020-W45;62.04
Germany;15/11/2020;2020-W46;62.04
Germany;22/11/2020;2020-W47;62.04
Germany;29/11/2020;2020-W48;62.04
Germany;06/12/2020;2020-W49;67.59
Germany;13/12/2020;2020-W50;67.59
Germany;20/12/2020;2020-W51;82.41
Germany;27/12/2020;2020-W52;82.41
Germany;03/01/2021;2021-W01;82.41
Germany;10/01/2021;2021-W02;83.33
Germany;17/01/2021;2021-W03;83.33
Germany;24/01/2021;2021-W04;83.33
Germany;31/01/2021;2021-W05;83.33
Germany;07/02/2021;2021-W06;83.33
Germany;14/02/2021;2021-W07;83.33
