location;date;week;total_vaccinations;total_boosters
China;08/03/2020;2020-W10;0;0
Germany;08/03/2020;2020-W10;0;0
India;08/03/2020;2020-W10;0;0
United States;08/03/2020;2020-W10;0;0
China;15/03/2020;2020-W11;0;0
Germany;15/03/2020;2020-W11;0;0
India;15/03/2020;2020-W11;0;0
United States;15/03/2020;2020-W11;0;0
China;22/03/2020;2020-W12;0;0
Germany;22/03/2020;2020-W12;0;0
India;22/03/2020;2020-W12;0;0
United States;22/03/2020;2020-W12;0;0
China;29/03/2020;2020-W13;0;0
Germany;29/03/2020;2020-W13;0;0
India;29/03/2020;2020-W13;0;0
United States;29/03/2020;2020-W13;0;0
China;05/04/2020;2020-W14;0;0
Germany;05/04/2020;2020-W14;0;0
India;05/04/2020;2020-W14;0;0
United States;05/04/2020;2020-W14;0;0
China;12/04/2020;2020-W15;0;0
Germany;12/04/2020;2020-W15;0;0
India;12/04/2020;2020-W15;0;0
United States;12/04/2020;2020-W15;0;0
China;19/04/2020;2020-W16;0;0
Germany;19/04/2020;2020-W16;0;0
India;19/04/2020;2020-W16;0;0
United States;19/04/2020;2020-W16;0;0
China;26/04/2020;2020-W17;0;0
Germany;26/04/2020;2020-W17;0;0
India;26/04/2020;2020-W17;0;0
United States;26/04/2020;2020-W17;0;0
China;03/05/2020;2020-W18;0;0
Germany;03/05/2020;2020-W18;0;0
India;03/05/2020;2020-W18;0;0
United States;03/05/2020;2020-W18;0;0
China;10/05/2020;2020-W19;0;0
Germany;10/05/2020;2020-W19;0;0
India;10/05/2020;2020-W19;0;0
United States;10/05/2020;2020-W19;0;0
China;17/05/2020;2020-W20;0;0
Germany;17/05/2020;2020-W20;0;0
India;17/05/2020;2020-W20;0;0
United States;17/05/2020;2020-W20;0;0
China;24/05/2020;2020-W21;0;0
Germany;24/05/2020;2020-W21;0;0
India;24/05/2020;2020-W21;0;0
United States;24/05/2020;2020-W21;0;0
China;31/05/2020;2020-W22;0;0
Germany;31/05/2020;2020-W22;0;0
India;31/05/2020;2020-W22;0;0
United States;31/05/2020;2020-W22;0;0
China;07/06/2020;2020-W23;0;0
Germany;07/06/2020;2020-W23;0;0
India;07/06/2020;2020-W23;0;0
United States;07/06/2020;2020-W23;0;0
China;14/06/2020;2020-W24;0;0
Germany;14/06/2020;2020-W24;0;0
India;14/06/2020;2020-W24;0;0
United States;14/06/2020;2020-W24;0;0
China;21/06/2020;2020-W25;0;0
Germany;21/06/2020;2020-W25;0;0
India;21/06/2020;2020-W25;0;0
United States;21/06/2020;2020-W25;0;0
China;28/06/2020;2020-W26;0;0
Germany;28/06/2020;2020-W26;0;0
India;28/06/2020;2020-W26;0;0
United States;28/06/2020;2020-W26;0;0
China;05/07/2020;2020-W27;0;0
Germany;05/07/2020;2020-W27;0;0
India;05/07/2020;2020-W27;0;0
United States;05/07/2020;2020-W27;0;0
China;12/07/2020;2020-W28;0;0
Germany;12/07/2020;2020-W28;0;0
India;12/07/2020;2020-W28;0;0
United States;12/07/2020;2020-W28;0;0
China;19/07/2020;2020-W29;0;0
Germany;19/07/2020;2020-W29;0;0
India;19/07/2020;2020-W29;0;0
United States;19/07/2020;2020-W29;0;0
China;26/07/2020;2020-W30;0;0
Germany;26/07/2020;2020-W30;0;0
India;26/07/2020;2020-W30;0;0
United States;26/07/2020;2020-W30;0;0
China;02/08/2020;2020-W31;0;0
Germany;02/08/2020;2020-W31;0;0
India;02/08/2020;2020-W31;0;0
United States;02/08/2020;2020-W31;0;0
China;09/08/2020;2020-W32;0;0
Germany;09/08/2020;2020-W32;0;0
India;09/08/2020;2020-W32;0;0
United States;09/08/2020;2020-W32;0;0
China;16/08/2020;2020-W33;0;0
Germany;16/08/2020;2020-W33;0;0
India;16/08/2020;2020-W33;0;0
United States;16/08/2020;2020-W33;0;0
China;23/08/2020;2020-W34;0;0
Germany;23/08/2020;2020-W34;0;0
India;23/08/2020;2020-W34;0;0
United States;23/08/2020;2020-W34;0;0
China;30/08/2020;2020-W35;0;0
Germany;30/08/2020;2020-W35;0;0
India;30/08/2020;2020-W35;0;0
United States;30/08/2020;2020-W35;0;0
China;06/09/2020;2020-W36;0;0
Germany;06/09/2020;2020-W36;0;0
India;06/09/2020;2020-W36;0;0
United States;06/09/2020;2020-W36;0;0
China;13/09/2020;2020-W37;0;0
Germany;13/09/2020;2020-W37;0;0
India;13/09/2020;2020-W37;0;0
United States;13/09/2020;2020-W37;0;0
China;20/09/2020;2020-W38;0;0
Germany;20/09/2020;2020-W38;0;0
India;20/09/2020;2020-W38;0;0
United States;20/09/2020;2020-W38;0;0
China;27/09/2020;2020-W39;0;0
Germany;27/09/2020;2020-W39;0;0
India;27/09/2020;2020-W39;0;0
United States;27/09/2020;2020-W39;0;0
China;04/10/2020;2020-W40;0;0
Germany;04/10/2020;2020-W40;0;0
India;04/10/2020;2020-W40;0;0
United States;04/10/2020;2020-W40;0;0
China;11/10/2020;2020-W41;0;0
Germany;11/10/2020;2020-W41;0;0
India;11/10/2020;2020-W41;0;0
United States;11/10/2020;2020-W41;0;0
China;18/10/2020;2020-W42;0;0
Germany;18/10/2020;2020-W42;0;0
India;18/10/2020;2020-W42;0;0
United States;18/10/2020;2020-W42;0;0
China;25/10/2020;2020-W43;0;0
Germany;25/10/2020;2020-W43;0;0
India;25/10/2020;2020-W43;0;0
United States;25/10/2020;2020-W43;0;0
China;01/11/2020;2020-W44;0;0
Germany;01/11/2020;2020-W44;0;0
India;01/11/2020;2020-W44;0;0
United States;01/11/2020;2020-W44;0;0
China;08/11/2020;2020-W45;0;0
Germany;08/11/2020;2020-W45;0;0
India;08/11/2020;2020-W45;0;0
United States;08/11/2020;2020-W45;0;0
China;15/11/2020;2020-W46;0;0
Germany;15/11/2020;2020-W46;0;0
India;15/11/2020;2020-W46;0;0
United States;15/11/2020;2020-W46;0;0
China;22/11/2020;2020-W47;0;0
Germany;22/11/2020;2020-W47;0;0
India;22/11/2020;2020-W47;0;0
United States;22/11/2020;2020-W47;0;0
China;29/11/2020;2020-W48;0;0
Germany;29/11/2020;2020-W48;0;0
India;29/11/2020;2020-W48;0;0
United States;29/11/2020;2020-W48;0;0
China;06/12/2020;2020-W49;0;0
Germany;06/12/2020;2020-W49;0;0
India;06/12/2020;2020-W49;0;0
United States;06/12/2020;2020-W49;0;0
China;13/12/2020;2020-W50;0;0
Germany;13/12/2020;2020-W50;0;0
India;13/12/2020;2020-W50;0;0
United States;13/12/2020;2020-W50;45620;0
China;20/12/2020;2020-W51;0;0
Germany;20/12/2020;2020-W51;0;0
India;20/12/2020;2020-W51;0;0
United States;20/12/2020;2020-W51;1246202;0
China;27/12/2020;2020-W52;0;0
Germany;27/12/2020;2020-W52;24427;0
India;27/12/2020;2020-W52;0;0
United States;27/12/2020;2020-W52;3114027;0
China;03/01/2021;2021-W01;0;0
Germany;03/01/2021;2021-W01;303099;0
India;03/01/2021;2021-W01;0;0
United States;03/01/2021;2021-W01;6264523;0
China;10/01/2021;2021-W02;0;0
Germany;10/01/2021;2021-W02;679400;0
India;10/01/2021;2021-W02;0;0
United States;10/01/2021;2021-W02;11989784;0
